"mapId","gate","passed","applicable"
"hfo-lvl","overallPositive","true","true"
"hfo-lvl","factionsPositive","true","true"
"hfo-lvl","slotsPositive","false","true"
"hfo-lvl","startsPositive","false","true"
"hfo-lvl","pooledWilsonAbove065","false","true"
"hfo-lvl","clusteredLowerAbove060","false","true"
"hfo-lvl","countryStartPositiveAtLeast17","false","true"
"hfo-lvl","countryStartAllNoninferior","false","true"
"hfo-lvl","pairedAdaptationGateApplicable","false","false"
"hfo-rvr","overallPositive","true","true"
"hfo-rvr","factionsPositive","true","true"
"hfo-rvr","slotsPositive","true","true"
"hfo-rvr","startsPositive","true","true"
"hfo-rvr","pooledWilsonAbove065","false","true"
"hfo-rvr","clusteredLowerAbove060","false","true"
"hfo-rvr","countryStartPositiveAtLeast17","false","true"
"hfo-rvr","countryStartAllNoninferior","false","true"
"hfo-rvr","pairedAdaptationGateApplicable","false","false"
