"map_id","stratum_type","stratum","games","wins","draws","losses","winRate","scoreRate","oneSided95WilsonWinLower","medianLiteralWinUpdates","tickCapCount","source_path"
"hfo-original","faction","Allied","80","48","2","30","0.6","0.6125","0.5080618399803539","13600","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","faction","Soviet","64","36","0","28","0.5625","0.5625","0.4600257227603529","18726","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","slot","0","72","39","2","31","0.5416666666666666","0.5555555555555556","0.4453239818017693","14464","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","slot","1","72","45","0","27","0.625","0.625","0.528230685083217","16138","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","119,152","18","13","0","5","0.7222222222222222","0.7222222222222222","0.5286938303240728","12616","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","120,83","18","13","0","5","0.7222222222222222","0.7222222222222222","0.5286938303240728","15808","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","146,76","18","8","1","9","0.4444444444444444","0.4722222222222222","0.2719364054526959","27569","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","151,119","18","12","1","5","0.6666666666666666","0.6944444444444444","0.47309956069173476","17666","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","39,82","18","4","0","14","0.2222222222222222","0.2222222222222222","0.10391618308455004","8254.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-original","start","50,121","18","7","0","11","0.3888888888888889","0.3888888888888889","0.22658978563143434","19625","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
