"caseIndex","opponent","opponentMapOrdinal","mapId","directionOrdinal","candidateStart","opponentStart","candidateStartOrdinal","opponentStartOrdinal","countryOrdinal","country","candidateSlot","requestedEngineSeed","maxUpdates","stratumId","topologyId","role","jobId","artifactSha256","artifactBytes","sourceCommit","runnerSha256","protocolSha256","mapSha256","v5","v6"
"0","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","0","Americans","0","3350110000","24000","pinned_supalosa__hfo-le","hfo","competitive","27365756","68b10185214bb819348033bcb06b7de08071033448643cd54695543241fd008b","212092","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""baseline_win"",""tick"":7470,""winner"":""baseline""},""separated_lanes_v2"":{""status"":""baseline_win"",""tick"":8092,""winner"":""baseline""},""separated_lanes_unbounded_d1"":{""status"":""baseline_win"",""tick"":7470,""winner"":""baseline""}}","{""disabled"":{""status"":""baseline_win"",""tick"":7470,""winner"":""baseline""},""separated_lanes_v2"":{""status"":""baseline_win"",""tick"":8092,""winner"":""baseline""},""separated_lanes_unbounded_d1"":{""status"":""baseline_win"",""tick"":7470,""winner"":""baseline""}}"
"1","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","0","Americans","1","3350110001","24000","pinned_supalosa__hfo-le","hfo","competitive","27365757","72eafd2b584ac3153c4b3c1df7c67571008d1a35c3526aa6a459bdad57d1b824","204860","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""baseline_win"",""tick"":7420,""winner"":""baseline""},""separated_lanes_v2"":{""status"":""baseline_win"",""tick"":8164,""winner"":""baseline""},""separated_lanes_unbounded_d1"":{""status"":""baseline_win"",""tick"":7420,""winner"":""baseline""}}","{""disabled"":{""status"":""baseline_win"",""tick"":7420,""winner"":""baseline""},""separated_lanes_v2"":{""status"":""baseline_win"",""tick"":8164,""winner"":""baseline""},""separated_lanes_unbounded_d1"":{""status"":""baseline_win"",""tick"":7420,""winner"":""baseline""}}"
"2","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","1","Africans","0","3350110002","24000","pinned_supalosa__hfo-le","hfo","competitive","27365758","ad18ff163e576a0ea44d7fbc5f5e0a224fbb09237743a83a5974eb47a4eda3c0","316425","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}"
"3","pinned_supalosa","0","hfo-le","0","39,82","88,34","0","1","1","Africans","1","3350110003","24000","pinned_supalosa__hfo-le","hfo","competitive","27365759","c903fd9a92b50d7b813ece4fdeba4623a9fdebe10f24cd0f9be1ba30a9b9d4c5","386909","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}"
"4","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","0","Americans","0","3350110004","24000","pinned_supalosa__hfo-le","hfo","competitive","27365760","27d9ee2791ef175c9637619752174f3d6decde081c4515e28b80ac42080cf63e","369612","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""candidate_win"",""tick"":9538,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""candidate_win"",""tick"":15160,""winner"":""candidate""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":13165,""winner"":""candidate""}}","{""disabled"":{""status"":""candidate_win"",""tick"":9538,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""candidate_win"",""tick"":15160,""winner"":""candidate""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":13165,""winner"":""candidate""}}"
"5","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","0","Americans","1","3350110005","24000","pinned_supalosa__hfo-le","hfo","competitive","27365761","f380759c50813c8c63f061a4db2d577f410a3c061ce82b5a93fe5e9bbe1c54b1","385981","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""candidate_win"",""tick"":9706,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""candidate_win"",""tick"":14459,""winner"":""candidate""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}","{""disabled"":{""status"":""candidate_win"",""tick"":9706,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""candidate_win"",""tick"":14459,""winner"":""candidate""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}"
"6","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","1","Africans","0","3350110006","24000","pinned_supalosa__hfo-le","hfo","competitive","27365762","d338d746bb5033cdca3c3d8921a1b96d1b9446f2b829233b9985dc4e2535c252","461512","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""candidate_win"",""tick"":10903,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":10903,""winner"":""candidate""}}","{""disabled"":{""status"":""candidate_win"",""tick"":10903,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":10903,""winner"":""candidate""}}"
"7","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","1","Africans","1","3350110007","24000","pinned_supalosa__hfo-le","hfo","competitive","27365763","f7aeefb30167bd8f576b507a1e35f64ce07e2d1e519e768e62e3865aaef906b6","439848","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","e4dfc736a6355e0e68d4681e4d67419516e6bb94549e2d42880c9414e95e2e8d","{""disabled"":{""status"":""candidate_win"",""tick"":9586,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":9586,""winner"":""candidate""}}","{""disabled"":{""status"":""candidate_win"",""tick"":9586,""winner"":""candidate""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""candidate_win"",""tick"":9586,""winner"":""candidate""}}"
"8","pinned_supalosa","1","peak","0","118,73","37,73","0","1","0","Americans","0","3350110008","24000","pinned_supalosa__peak","peak","competitive","27365764","42392f411f16744274279d6904e3e640e8b7914099083ea0fa60d087681ca090","209691","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","440715dc154ac10b4b922159824140d40c48990311c6838345b66958f3b3a442","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}"
"9","pinned_supalosa","1","peak","0","118,73","37,73","0","1","0","Americans","1","3350110009","24000","pinned_supalosa__peak","peak","competitive","27365765","2aed65d27b8507306a45b6406f4c5b8b1c3549585705090f4ba81b0bf802a84f","204083","18dde712dac64b2f76ec5c91c4e87a7140db78a1","61a3d2de51c60b3bc910e9a358dc1ef0324337e1c9c7535694379490652e14b0","151c4cd5719459b8a6dc218f17d55f7fbc563803a11d6a0b7298a0a121247ebe","440715dc154ac10b4b922159824140d40c48990311c6838345b66958f3b3a442","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}","{""disabled"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_v2"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""},""separated_lanes_unbounded_d1"":{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}}"
