"endpoint","population","arm","n","W","D","L","score","literalWinRate","pooledWilsonWinLower90","statuses","ticks"
"v6","overall","disabled","200","70","81","49","0.5525","0.35","0.30815810792421205","{""baseline_win"":49,""candidate_win"":70,""engine_nonliteral_termination_draw"":3,""tick_cap_draw"":78}","{""all"":{""n"":200,""min"":5662,""median"":19880,""p90"":24000,""max"":24000,""mean"":17510.695},""W"":{""n"":70,""min"":7096,""median"":11458,""p90"":20464,""max"":21315,""mean"":13201.585714285715},""D"":{""n"":81,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23892.11111111111},""L"":{""n"":49,""min"":5662,""median"":12085,""p90"":21483,""max"":23870,""mean"":13117.69387755102}}"
"v6","overall","separated_lanes_v2","200","49","92","59","0.475","0.245","0.20820625395670245","{""baseline_win"":59,""candidate_win"":49,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":91}","{""all"":{""n"":200,""min"":5872,""median"":20756,""p90"":24000,""max"":24000,""mean"":18826.875},""W"":{""n"":49,""min"":6718,""median"":15004,""p90"":20426,""max"":22249,""mean"":14744.081632653062},""D"":{""n"":92,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23932.956521739132},""L"":{""n"":59,""min"":5872,""median"":13881,""p90"":22643,""max"":23512,""mean"":14255.64406779661}}"
"v6","overall","separated_lanes_unbounded_d1","200","68","76","56","0.53","0.34","0.29853132281898964","{""baseline_win"":56,""candidate_win"":68,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":75}","{""all"":{""n"":200,""min"":5662,""median"":20021,""p90"":24000,""max"":24000,""mean"":17398.805},""W"":{""n"":68,""min"":6527,""median"":11374,""p90"":20249,""max"":22157,""mean"":12693.558823529413},""D"":{""n"":76,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23918.842105263157},""L"":{""n"":56,""min"":5662,""median"":13247,""p90"":22529,""max"":23870,""mean"":14263.69642857143}}"
"v6","supalosa","disabled","120","46","42","32","0.5583333333333333","0.38333333333333336","0.3283919414814477","{""baseline_win"":32,""candidate_win"":46,""engine_nonliteral_termination_draw"":3,""tick_cap_draw"":39}","{""all"":{""n"":120,""min"":5662,""median"":16546,""p90"":24000,""max"":24000,""mean"":16187.383333333333},""W"":{""n"":46,""min"":7096,""median"":10958,""p90"":21001,""max"":21315,""mean"":13031.565217391304},""D"":{""n"":42,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23791.928571428572},""L"":{""n"":32,""min"":5662,""median"":8883,""p90"":18927,""max"":23474,""mean"":10742.90625}}"
"v6","supalosa","separated_lanes_v2","120","34","50","36","0.49166666666666664","0.2833333333333333","0.233816863802125","{""baseline_win"":36,""candidate_win"":34,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":49}","{""all"":{""n"":120,""min"":5872,""median"":19637,""p90"":24000,""max"":24000,""mean"":17348.033333333333},""W"":{""n"":34,""min"":6718,""median"":14128,""p90"":20426,""max"":22249,""mean"":14521.85294117647},""D"":{""n"":50,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23876.64},""L"":{""n"":36,""min"":5872,""median"":9032,""p90"":18235,""max"":20537,""mean"":10949.694444444445}}"
"v6","supalosa","separated_lanes_unbounded_d1","120","41","44","35","0.525","0.3416666666666667","0.2886545731300702","{""baseline_win"":35,""candidate_win"":41,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":43}","{""all"":{""n"":120,""min"":5662,""median"":17560,""p90"":24000,""max"":24000,""mean"":16213.15},""W"":{""n"":41,""min"":6718,""median"":10773,""p90"":20153,""max"":22157,""mean"":12287.292682926829},""D"":{""n"":44,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23859.81818181818},""L"":{""n"":35,""min"":5662,""median"":8918,""p90"":21483,""max"":23474,""mean"":11199.057142857142}}"
"v6","advanced","disabled","80","24","39","17","0.54375","0.3","0.2389027396739289","{""baseline_win"":17,""candidate_win"":24,""tick_cap_draw"":39}","{""all"":{""n"":80,""min"":7110,""median"":23870,""p90"":24000,""max"":24000,""mean"":19495.6625},""W"":{""n"":24,""min"":7110,""median"":11836,""p90"":19880,""max"":20464,""mean"":13527.458333333334},""D"":{""n"":39,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":17,""min"":12085,""median"":18131,""p90"":21997,""max"":23870,""mean"":17587.882352941175}}"
"v6","advanced","separated_lanes_v2","80","15","42","23","0.45","0.1875","0.13807137109455367","{""baseline_win"":23,""candidate_win"":15,""tick_cap_draw"":42}","{""all"":{""n"":80,""min"":7474,""median"":24000,""p90"":24000,""max"":24000,""mean"":21045.1375},""W"":{""n"":15,""min"":7474,""median"":15843,""p90"":20217,""max"":20660,""mean"":15247.8},""D"":{""n"":42,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":23,""min"":11566,""median"":19730,""p90"":23350,""max"":23512,""mean"":19430.17391304348}}"
"v6","advanced","separated_lanes_unbounded_d1","80","27","32","21","0.5375","0.3375","0.2736224621247424","{""baseline_win"":21,""candidate_win"":27,""tick_cap_draw"":32}","{""all"":{""n"":80,""min"":6527,""median"":21497,""p90"":24000,""max"":24000,""mean"":19177.2875},""W"":{""n"":27,""min"":6527,""median"":12214,""p90"":20277,""max"":20707,""mean"":13310.481481481482},""D"":{""n"":32,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":21,""min"":12085,""median"":20400,""p90"":23524,""max"":23870,""mean"":19371.428571428572}}"
"v5","overall","disabled","200","69","82","49","0.55","0.345","0.3033421145706862","{""baseline_win"":49,""candidate_win"":69,""engine_nonliteral_termination_draw"":4,""tick_cap_draw"":78}","{""all"":{""n"":200,""min"":5662,""median"":19880,""p90"":24000,""max"":24000,""mean"":17515.325},""W"":{""n"":69,""min"":7096,""median"":11296,""p90"":20249,""max"":21315,""mean"":13088.550724637682},""D"":{""n"":82,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23868.146341463416},""L"":{""n"":49,""min"":5662,""median"":12085,""p90"":21483,""max"":23870,""mean"":13117.69387755102}}"
"v5","overall","separated_lanes_v2","200","49","92","59","0.475","0.245","0.20820625395670245","{""baseline_win"":59,""candidate_win"":49,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":91}","{""all"":{""n"":200,""min"":5872,""median"":20756,""p90"":24000,""max"":24000,""mean"":18826.875},""W"":{""n"":49,""min"":6718,""median"":15004,""p90"":20426,""max"":22249,""mean"":14744.081632653062},""D"":{""n"":92,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23932.956521739132},""L"":{""n"":59,""min"":5872,""median"":13881,""p90"":22643,""max"":23512,""mean"":14255.64406779661}}"
"v5","overall","separated_lanes_unbounded_d1","200","67","77","56","0.5275","0.335","0.2937257870368636","{""baseline_win"":56,""candidate_win"":67,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":76}","{""all"":{""n"":200,""min"":5662,""median"":20021,""p90"":24000,""max"":24000,""mean"":17408.02},""W"":{""n"":67,""min"":6527,""median"":11362,""p90"":20153,""max"":21190,""mean"":12552.313432835821},""D"":{""n"":77,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23919.896103896102},""L"":{""n"":56,""min"":5662,""median"":13247,""p90"":22529,""max"":23870,""mean"":14263.69642857143}}"
"v5","supalosa","disabled","120","45","43","32","0.5541666666666667","0.375","0.3204089307987089","{""baseline_win"":32,""candidate_win"":45,""engine_nonliteral_termination_draw"":4,""tick_cap_draw"":39}","{""all"":{""n"":120,""min"":5662,""median"":16546,""p90"":24000,""max"":24000,""mean"":16195.1},""W"":{""n"":45,""min"":7096,""median"":10936,""p90"":20856,""max"":21315,""mean"":12854.466666666667},""D"":{""n"":43,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":23748.558139534885},""L"":{""n"":32,""min"":5662,""median"":8883,""p90"":18927,""max"":23474,""mean"":10742.90625}}"
